"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-7.8430166505616,0.005,0.946,0,"RPS4Y1"
0,-8.10572922301551,0.002,0.303,0,"USP9Y"
0,-8.00611941476301,0.002,0.301,0,"UTY"
0,13.2196522498731,0.262,0,0,"XIST"
0,-7.79644203395476,0.002,0.257,0,"TXLNGY"
0,-7.77882694280221,0.001,0.232,0,"DDX3Y"
0,-8.10148318926368,0.001,0.217,0,"EIF1AY"
0,-7.86024866554358,0.001,0.138,0,"KDM5D"
0,-0.297525087820615,0.998,1,0,"HLA-B"
0,0.495660846852985,0.998,0.999,0,"RPS4X"
1.29628140818757e-264,-0.354401332911248,0.943,0.971,3.07283507810864e-260,"RPS26"
1.37754451869831e-240,0.874879878510974,0.451,0.293,3.26546928157434e-236,"EIF1AX"
7.71985589363608e-174,0.623302586148034,0.657,0.546,1.82999183958643e-169,"CD69"
9.42015136173674e-117,0.630688534073553,0.409,0.3,2.23304688029969e-112,"DDX3X"
1.16051245741311e-109,0.801482616013268,0.261,0.164,2.75099478029778e-105,"KDM6A"
2.56384854082468e-104,0.411305806913681,0.655,0.571,6.07760296602491e-100,"SEPTIN6"
6.14211268972745e-101,0.405163073310504,0.681,0.6,1.45598781309989e-96,"NOSIP"
2.69395356251296e-89,0.760999580054004,0.226,0.144,6.38601691993697e-85,"ZRSR2"
8.7149005025606e-89,0.686930700568824,0.265,0.177,2.06586716413199e-84,"JPX"
9.91817509292766e-88,0.482205284104631,0.484,0.393,2.3511034057785e-83,"EIF2S3"
7.65417703562252e-83,-0.300626662608869,0.699,0.762,1.81442266629432e-78,"CD81"
3.62525305154557e-77,0.315119412878935,0.319,0.231,8.59366235868878e-73,"ENSG00000282885"
2.10670389274326e-72,0.537814288038032,0.311,0.226,4.99394157774789e-68,"PRKX"
1.36962090058259e-55,0.560557116106604,0.228,0.163,3.24668634483104e-51,"CA5B"
2.2359827886186e-55,-0.442896777089225,0.446,0.512,5.3003972004204e-51,"CST7"
1.42172024994892e-54,0.460932366504692,0.395,0.322,3.37018785250392e-50,"MT2A"
6.60391652681997e-54,-0.309860471709116,0.521,0.588,1.56545841268267e-49,"GZMM"
