"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-8.2816138686321,0.003,0.852,0,"RPS4Y1"
0,11.4290053182137,0.596,0,0,"XIST"
9.87961544483079e-270,-7.73409498320055,0.002,0.426,2.34196284119714e-265,"LINC00278"
1.09674628055611e-254,-8.72095827018516,0.001,0.405,2.59983705805826e-250,"UTY"
1.42293266654425e-208,-7.68722147383621,0.001,0.344,3.37306188604313e-204,"DDX3Y"
9.61737661021617e-174,0.485417380265322,0.992,0.995,2.27979912545174e-169,"RPS4X"
5.74296560625258e-173,-7.82183543169651,0.002,0.295,1.36136999696217e-168,"USP9Y"
1.96671941713203e-131,-8.61943259495376,0,0.229,4.66210837831147e-127,"EIF1AY"
1.34286245530622e-117,-6.6494508679698,0,0.207,3.18325545030339e-113,"TXLNGY"
2.54849175930494e-117,-7.84644224480551,0.001,0.208,6.04119971543237e-113,"TTTY14"
1.94005350916234e-105,-7.35688647591033,0.002,0.19,4.59889684346933e-101,"ZFY"
1.01280414507428e-79,-7.50606651236793,0,0.145,2.40085222589859e-75,"KDM5D"
2.89202780221756e-61,-0.418821575502654,0.941,0.974,6.85555190515674e-57,"RPS26"
5.68560369374352e-46,-0.369902167257943,0.891,0.947,1.3477723556019e-41,"CD99"
8.88472503392777e-29,0.522107985528527,0.718,0.618,2.10612406929258e-24,"EIF1AX"
4.17744551837304e-26,0.33535115555456,0.945,0.939,9.90263460130329e-22,"HLA-DQA1"
1.45341452155429e-21,0.40365039673062,0.65,0.495,3.44531912334444e-17,"NAPSB"
4.92827770364145e-21,-1.21365792306827,0.08,0.167,1.16824822964821e-16,"ENSG00000276345"
4.88600283927886e-20,0.557471695379532,0.47,0.335,1.15822697305105e-15,"PRKX"
4.29999616289412e-18,0.488338908454987,0.314,0.201,1.01931409041405e-13,"CCDC200"
8.20399396132999e-18,0.675749680387291,0.415,0.296,1.94475676853327e-13,"JPX"
3.47076724281997e-16,0.314886897383771,0.825,0.739,8.22745374910473e-12,"LSP1"
2.60174452217293e-14,0.899307792524422,0.277,0.19,6.16743538981094e-10,"LINC02432"
1.17226522364e-13,0.704943541860562,0.39,0.287,2.77885471263863e-09,"KDM6A"
2.15655824692385e-13,-0.336194641219336,0.54,0.637,5.11212132433299e-09,"LYVE1"
4.39436295323174e-13,0.541169886851224,0.337,0.24,1.04168373806358e-08,"ZFX"
5.29997286386927e-13,0.413989906877799,0.381,0.281,1.25635856738021e-08,"HLA-DQA2"
7.17085852656912e-13,0.685121162695431,0.238,0.154,1.69985201372321e-08,"PUDP"
2.53195110489805e-12,0.561635467716231,0.45,0.36,6.00199009416084e-08,"MGLL"
8.40450084973442e-12,-0.266298143261073,0.678,0.733,1.99228692642954e-07,"SSR3"
2.26771616376196e-11,0.449514817660817,0.46,0.361,5.37562116619773e-07,"CLEC12A"
3.54527804872007e-11,0.526181070122565,0.314,0.231,8.40408161449092e-07,"TMEM176B"
7.39477013686711e-11,0.317910059339918,0.423,0.328,1.75293026094435e-06,"ENSG00000290039"
2.09437705968186e-10,0.305386047373931,0.835,0.818,4.96472081997585e-06,"TUBA1A"
2.38040624582871e-10,0.385352105994924,0.462,0.36,5.64275300573696e-06,"MRPL23"
2.87795815032966e-10,0.778452991226125,0.269,0.194,6.82219979535647e-06,"TEX14"
3.45662413691275e-10,0.703996777936967,0.226,0.155,8.19392751655168e-06,"KDM5C"
1.07354513907991e-09,0.308663749097126,0.814,0.773,2.54483875218893e-05,"H4C3"
1.19943800857412e-09,0.25749704739467,0.582,0.496,2.84326779932495e-05,"LY6E"
