"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
6.50577504604507e-41,4.18793435233331,0.144,0.016,1.54219397466498e-36,"CHI3L2"
8.99253211822743e-23,-0.896143653614083,0.708,0.787,2.13167973862581e-18,"JUNB"
2.17774232618934e-22,-0.856767354909771,0.698,0.796,5.16233818423183e-18,"CXCR4"
2.40536117527456e-21,1.40147359651372,0.301,0.14,5.70190866598835e-17,"MIR4435-2HG"
5.60193223378618e-21,0.76714393212488,0.662,0.493,1.32793803601901e-16,"CD27"
4.30107545816854e-20,-1.193337836732,0.629,0.711,1.01956993735885e-15,"ZFP36"
1.29008734250948e-19,0.869461169092144,0.543,0.354,3.05815204541873e-15,"MT2A"
2.09886797491216e-18,1.61107382210229,0.204,0.083,4.97536653452927e-14,"TRAV29DV5"
6.27508345584855e-18,-0.698005006426512,0.667,0.766,1.4875085332089e-13,"TSC22D3"
6.4961590260502e-18,-1.29156639109158,0.272,0.432,1.5399144971252e-13,"TNFAIP3"
7.80567489273028e-17,-0.848007880089366,0.506,0.629,1.85033523332171e-12,"NFKBIA"
1.00132852109149e-16,-0.4575455811991,0.957,0.972,2.37364925924737e-12,"ZFP36L2"
1.05314580951965e-16,-0.920470800361666,0.49,0.626,2.49648214146633e-12,"CD69"
2.90855478896976e-16,-1.23532936439569,0.345,0.49,6.89472912725281e-12,"JUN"
3.69509151877038e-15,-0.902548372351757,0.402,0.545,8.75921444524518e-11,"DDIT4"
2.59998238650304e-14,0.678622372844442,0.616,0.467,6.16325824720545e-10,"CTSC"
3.93480969218977e-14,0.540379328065536,0.744,0.608,9.32746637533585e-10,"UCP2"
3.95456138882966e-14,0.386723404995466,0.884,0.811,9.3742877722207e-10,"LIME1"
4.00664399318633e-13,1.70919957062109,0.341,0.217,9.49774958584819e-09,"CMC1"
5.28931443758552e-13,0.605653631942427,0.452,0.299,1.25383198742965e-08,"MIR142HG"
7.4522919821526e-13,1.19034713173947,0.122,0.042,1.76656581436927e-08,"PECAM1"
7.88829541050979e-13,0.702576155097703,0.43,0.275,1.86992042706135e-08,"CYTOR"
1.13928176522455e-12,0.556224031737274,0.65,0.504,2.70066742446479e-08,"LINC00861"
