"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-6.89561970573631,0.01,0.935,0,"RPS4Y1"
1.44602338279327e-109,-6.42790108936293,0.004,0.309,3.42779842891145e-105,"UTY"
3.51931389776144e-106,-6.23517789359496,0.004,0.301,8.34253359464349e-102,"USP9Y"
8.50983887024732e-96,-7.0368814548466,0.003,0.272,2.01725730419213e-91,"TXLNGY"
1.30350794959569e-90,0.457603164789452,0.994,0.996,3.08996559451658e-86,"RPS4X"
1.01430268527824e-77,9.59154153098252,0.264,0,2.40440451545206e-73,"XIST"
6.31425583679304e-76,-6.68565069624305,0.003,0.22,1.49679434611179e-71,"DDX3Y"
5.44472613494247e-75,-7.6834385826387,0.001,0.214,1.29067233028811e-70,"EIF1AY"
2.99617668895614e-48,-0.363869902940529,1,1,7.10243684117052e-44,"HLA-B"
4.04321876350969e-43,-6.13396452577484,0.001,0.128,9.58445007889972e-39,"KDM5D"
7.13214696962233e-34,-0.455795955351809,0.944,0.979,1.69067543914897e-29,"RPS26"
7.82261268517513e-21,0.915926425439234,0.423,0.254,1.85435033702076e-16,"EIF1AX"
2.60592398765492e-20,0.316644735978927,0.992,0.991,6.17734281273598e-16,"MT-ND3"
3.90775733325495e-19,-0.812612361975219,0.473,0.621,9.26333875848087e-15,"CST7"
1.42364351409346e-17,-1.23824299119594,0.109,0.231,3.37474695015856e-13,"GZMH"
1.02745299915518e-15,0.485574980429245,0.734,0.606,2.43557733449737e-11,"ITGB1"
4.68626811638847e-14,0.542157488533559,0.666,0.537,1.11087985698989e-09,"NOSIP"
1.80053494761289e-13,-0.642992182794878,0.261,0.387,4.26816809331635e-09,"HLA-DPA1"
1.89156743307088e-13,0.607582658943639,0.644,0.522,4.48396060009453e-09,"CD69"
1.13294605178741e-12,-1.45207936413557,0.232,0.341,2.68564861576206e-08,"NKG7"
1.00755934633673e-11,-0.611931198431911,0.593,0.699,2.38841943049122e-07,"CCL5"
1.05168497536421e-11,-0.311878180906076,0.863,0.899,2.49301923410087e-07,"CD99"
2.2094246417558e-11,0.621304352445854,0.484,0.374,5.23744111328212e-07,"SELL"
1.03507271298057e-10,-0.91555747479721,0.591,0.655,2.45363986612044e-06,"CD74"
1.50606169757067e-10,-0.459719828717512,0.55,0.65,3.57011925409128e-06,"GZMM"
3.02008157333383e-10,-0.9807128264074,0.089,0.171,7.15910336958784e-06,"PLEK"
4.34250728979759e-10,0.558772526289607,0.396,0.28,1.02939135304652e-05,"DDX3X"
5.77154717846482e-10,0.418761481336061,0.674,0.57,1.36814525865509e-05,"SEPTIN6"
6.57768040057788e-10,0.71566243485923,0.276,0.173,1.55923913895699e-05,"KDM6A"
7.00874834778653e-10,-0.412785432852825,0.734,0.77,1.6614237958428e-05,"CD81"
