"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-8.43511026670011,0.003,0.64,0,"RPS4Y1"
0,12.9617318595955,0.608,0,0,"XIST"
0,-7.29286767298397,0.002,0.494,0,"UTY"
1.09515914238349e-230,-7.2535153840245,0.002,0.379,2.59607474702006e-226,"LINC00278"
3.44461372667781e-148,-8.19149682954628,0.001,0.257,8.16545683908974e-144,"USP9Y"
9.69524388379307e-140,-9.09447813472203,0.001,0.243,2.29825756265315e-135,"DDX3Y"
2.02470392502518e-138,-6.98522920189362,0.001,0.243,4.79956065427218e-134,"TXLNGY"
3.81695627257987e-107,-1.11627584927863,0.524,0.765,9.04809484415057e-103,"FTL"
1.38481340556229e-92,-0.851360170633813,0.578,0.823,3.28270017788541e-88,"RPLP1"
8.54446021055795e-90,-1.06516612705459,0.38,0.662,2.02546429291276e-85,"GPX1"
5.26377882581484e-87,-1.01937402306011,0.343,0.642,1.24777877065941e-82,"AIF1"
3.96714062695426e-86,-1.01746683958001,0.364,0.65,9.40410685619507e-82,"CST3"
1.52366169631774e-84,-0.984874944532875,0.349,0.642,3.6118400511212e-80,"LYZ"
3.43669982740379e-84,-0.960355928557249,0.359,0.658,8.14669694086067e-80,"TYROBP"
6.26057325294476e-84,-1.15819881153327,0.321,0.608,1.48406888961055e-79,"S100A9"
8.61409333272838e-83,-7.61159391522122,0.001,0.15,2.04197082452326e-78,"KDM5D"
1.6908444112456e-82,-0.904828898493508,0.582,0.79,4.00814667685769e-78,"FTH1"
1.95424271022307e-81,-1.08918986308959,0.323,0.61,4.6325323445838e-77,"VCAN"
2.46194860002115e-81,-1.06418880578677,0.318,0.604,5.83604915635013e-77,"FCN1"
2.42853786065069e-80,-1.00092166547306,0.354,0.639,5.75684899867246e-76,"CEBPD"
7.28652323841268e-80,-1.04925564506884,0.317,0.604,1.72727033366573e-75,"CD14"
1.66771256415753e-79,-7.33218501512671,0,0.144,3.95331263333543e-75,"TTTY14"
2.5951197402065e-77,-0.785135303697,0.566,0.802,6.1517313441595e-73,"RPS18"
3.39205965227222e-77,-0.968494872344981,0.356,0.642,8.04087740571129e-73,"IFI30"
1.06655551470403e-76,-0.78961350474094,0.657,0.839,2.52826984760589e-72,"TMSB4X"
3.97078970133706e-76,-0.969914014377034,0.356,0.632,9.41275698701949e-72,"NPC2"
5.5315370209944e-76,-0.773978651261354,0.553,0.793,1.31125085082672e-71,"RPS14"
1.19904125408968e-75,-0.812117806745558,0.548,0.765,2.84232729281958e-71,"RPS10"
2.90104518991477e-75,-0.97196323312492,0.386,0.646,6.87692762269297e-71,"AP1S2"
3.66272262126375e-74,-1.07322666311805,0.304,0.571,8.68248397370573e-70,"CD68"
2.44571721647285e-73,-0.781233251484561,0.577,0.79,5.79757266164889e-69,"RPS24"
3.82513870898102e-73,-1.24426846431894,0.266,0.523,9.06749130963951e-69,"CFD"
3.89408386957379e-73,-0.718340818220637,0.669,0.841,9.23092581282467e-69,"RPL13"
4.04118419309121e-73,-0.951386443989271,0.386,0.656,9.57962712972271e-69,"LGALS1"
4.12431039252056e-73,-0.77350813060798,0.54,0.774,9.77667778546999e-69,"RPL12"
4.24250437980275e-73,-0.947504805047394,0.347,0.627,1.00568566323224e-68,"FCER1G"
6.40546504689002e-73,-0.868968336684333,0.424,0.682,1.51841548936528e-68,"TSPO"
1.34323294687529e-72,-1.12528454231781,0.296,0.564,3.18413370056786e-68,"S100A8"
2.21380399226958e-72,-0.738921530446707,0.631,0.837,5.24782236367505e-68,"TMSB10"
2.41678915910176e-71,-0.814474206244425,0.512,0.742,5.72899870165071e-67,"SERF2"
2.7880289275237e-71,-1.14045783838641,0.289,0.551,6.60902257269494e-67,"IFITM3"
6.94088657562982e-71,-8.21687541600044,0.001,0.13,1.64533716275305e-66,"ZFY"
8.60228185697915e-71,-0.769936990939642,0.55,0.768,2.03917091419691e-66,"RPL29"
1.39050942994577e-70,-0.79155561633501,0.544,0.764,3.29620260368645e-66,"S100A4"
1.81556207800528e-70,-0.765307871575061,0.511,0.746,4.30378990591151e-66,"UBA52"
3.01581466197485e-70,-0.905820023836351,0.38,0.644,7.14898865621138e-66,"GSTP1"
5.06206443021605e-70,-0.815681172670135,0.524,0.732,1.19996237318272e-65,"OAZ1"
7.73954467908624e-70,-0.894901796735842,0.328,0.591,1.83465906617739e-65,"CYBB"
1.05447688563314e-69,-0.79476360046,0.534,0.754,2.49963745739336e-65,"RPS26"
2.56488681077085e-69,-0.827880429179444,0.337,0.629,6.08006418493229e-65,"MS4A6A"
7.38358300286454e-69,-0.717065170666249,0.578,0.799,1.75027835082904e-64,"RPS12"
9.37456012095731e-69,-0.717509719199817,0.57,0.799,2.22223947667293e-64,"RPL32"
1.11955755833577e-68,-0.784112867260121,0.608,0.785,2.65391119203495e-64,"GAPDH"
1.29452479471804e-68,-0.806703435867729,0.473,0.719,3.06867102587911e-64,"S100A11"
3.95655353392358e-68,-0.689793195647479,0.686,0.857,9.37901015216584e-64,"RPL10"
6.59065277842864e-68,-0.830389155500183,0.398,0.657,1.56231424112651e-63,"BRI3"
7.60873435437388e-68,-0.741210424160323,0.568,0.783,1.80365047870433e-63,"RPL26"
1.14473469613605e-67,-0.740783707638727,0.569,0.769,2.71359359719051e-63,"RPS16"
1.20302155557546e-67,-0.805121838364235,0.502,0.733,2.85176259749162e-63,"S100A6"
1.96295755796222e-67,-0.802600498336391,0.434,0.693,4.65319089114944e-63,"GABARAP"
2.15279966415158e-67,-0.844522656432855,0.386,0.656,5.10321160387132e-63,"VAMP8"
4.75302356703481e-67,-0.721442910340367,0.584,0.793,1.1267042365656e-62,"RPL18A"
6.22435433826105e-67,-0.818139372596422,0.403,0.67,1.47548319588478e-62,"NME2"
7.78277610700552e-67,-0.699777559594447,0.59,0.798,1.84490707616566e-62,"RPS23"
1.93695270933046e-66,-0.72731275802771,0.644,0.803,4.59154639746785e-62,"RPL8"
2.21034005455014e-66,-0.715840284209572,0.6,0.79,5.23961109931111e-62,"RPS9"
2.96256645954378e-66,-0.897148964724442,0.324,0.594,7.02276379234854e-62,"MNDA"
4.13501126231426e-66,-0.759176232681041,0.532,0.736,9.80204419731596e-62,"PSAP"
1.8137421385879e-65,-0.700093222920533,0.622,0.812,4.29947573952261e-61,"RPL19"
1.84445230093653e-65,-0.68958241549914,0.547,0.782,4.37227417937004e-61,"RPLP2"
3.29795081676791e-65,-0.753692190318534,0.468,0.715,7.81779241114833e-61,"HLA-DPB1"
3.88244339939789e-65,-0.742556185792234,0.503,0.727,9.20333207827269e-61,"ATP5MC2"
3.95666820201536e-65,-0.885045472533581,0.33,0.597,9.37928197287742e-61,"FCGRT"
4.32394515092208e-65,-0.729317078816227,0.559,0.773,1.02499119802608e-60,"CD74"
7.7929896018985e-65,-0.817279776665759,0.345,0.626,1.84732818513004e-60,"SPI1"
1.17374647657988e-64,-0.71743806219357,0.649,0.808,2.78236602273261e-60,"RPLP0"
1.18280718697325e-64,-0.884742997728337,0.342,0.602,2.80384443672009e-60,"PYCARD"
3.53349501558532e-64,-0.706472722778067,0.579,0.786,8.37614993444499e-60,"RPS13"
4.44454662073806e-64,-0.818830106887411,0.338,0.605,1.05357977644596e-59,"LRMDA"
4.55717630028811e-64,-8.07799045928904,0,0.117,1.0802786419833e-59,"EIF1AY"
5.75881175835359e-64,-0.649129393739344,0.586,0.811,1.36512632731772e-59,"RPS15A"
6.61591061526513e-64,-0.847809039014666,0.359,0.62,1.5683016113486e-59,"GRN"
8.00988749632775e-64,-0.670788063851917,0.597,0.812,1.89874383100449e-59,"RPL28"
2.48304587227354e-63,-0.659344020323846,0.384,0.678,5.88606024022442e-59,"HLA-DRA"
3.16013949268887e-63,0.980959126831113,0.532,0.274,7.49111066741897e-59,"SKAP1"
3.43121628488651e-63,-0.968907418856388,0.336,0.586,8.13369820332346e-59,"CHCHD10"
3.71575308312949e-63,-0.685909939656405,0.598,0.789,8.80819268355846e-59,"RPL17"
8.25863932130956e-63,-0.666423058041188,0.621,0.806,1.95771045111643e-58,"RPS7"
3.06636281246364e-62,-0.691491624236328,0.533,0.754,7.26881304694506e-58,"PFDN5"
4.15101644022948e-62,-0.708168322537272,0.478,0.723,9.83998447156398e-58,"RPL27"
5.83707057934221e-62,-0.658087290199215,0.443,0.714,1.38367758083307e-57,"HLA-DRB1"
6.0180288044797e-62,-0.694323958630189,0.529,0.747,1.42657372810191e-57,"MYL6"
6.31676890745262e-62,-0.717219931580716,0.495,0.729,1.49739006951164e-57,"COX4I1"
9.17702343683984e-62,-0.737605144667931,0.496,0.726,2.17541340570288e-57,"SLC25A6"
1.22280936770056e-61,-0.6834420974765,0.554,0.772,2.89866960613417e-57,"RPL23A"
2.82729353929832e-61,-0.690974346521608,0.576,0.787,6.70209933490667e-57,"TPT1"
2.84692183047367e-61,-0.746989866507108,0.533,0.746,6.74862819913782e-57,"RPS5"
2.85001851823692e-61,-0.793383862991493,0.341,0.606,6.75596889748061e-57,"MEF2C"
3.50493221337638e-61,-0.878863379613178,0.313,0.57,8.30844181180871e-57,"CSF3R"
5.66079894847869e-61,-0.652907418189532,0.627,0.815,1.34189239073687e-56,"RPS8"
6.67943523460194e-61,-0.964947676624602,0.284,0.528,1.58336012236239e-56,"TLR2"
6.93256062528069e-61,-0.726190216927054,0.482,0.723,1.64336349622279e-56,"RPS11"
6.95323849665123e-61,-0.689842315785109,0.549,0.759,1.64826518563117e-56,"SH3BGRL3"
8.07876394324645e-61,-0.765458382000392,0.356,0.63,1.91507099274657e-56,"LST1"
9.38360412441298e-60,-1.27353883922169,0.221,0.445,2.2243833576921e-55,"CALHM6"
1.17271904400609e-59,-0.699930401411005,0.598,0.778,2.77993049381644e-55,"RPL15"
1.5254798945297e-59,-0.915219449013646,0.285,0.539,3.61615008998265e-55,"CSTA"
2.32233873222652e-59,-0.755514661909116,0.423,0.669,5.50510396474296e-55,"RPL23"
7.1518806600978e-59,-0.642291391953254,0.632,0.815,1.69535331047618e-54,"RPL7A"
7.93366340718389e-59,-0.639138977628785,0.629,0.808,1.88067491067294e-54,"RPS3A"
9.74650124669863e-59,-0.733446917317234,0.475,0.701,2.31040812052991e-54,"CTSS"
1.79172032735811e-58,0.928947397888437,0.498,0.251,4.2472730360024e-54,"BCL11B"
2.09562286775155e-58,-0.653160631789776,0.476,0.723,4.96767400800504e-54,"RPL31"
2.09877283216888e-58,-0.922933270814087,0.295,0.542,4.97514099865633e-54,"LRP1"
2.36269437002383e-58,-0.687761039040789,0.527,0.747,5.60076700414149e-54,"RPL35"
3.38887900268549e-58,-0.860657035555841,0.312,0.568,8.03333767586597e-54,"KCTD12"
3.65374330109846e-58,-0.60015232145283,0.443,0.702,8.66119849525391e-54,"HLA-DPA1"
4.39430640874511e-58,-0.726980114081255,0.45,0.688,1.04167033419303e-53,"ATP5MG"
6.34764381845028e-58,-0.879675301612459,0.284,0.526,1.50470896716364e-53,"HCK"
7.46893266491387e-58,-0.644846656754027,0.633,0.808,1.77051048821783e-53,"RPS6"
7.81846070434516e-58,-0.596360042702112,0.629,0.82,1.85336610996502e-53,"RPS27A"
1.01172583033462e-57,-0.834990431643742,0.316,0.563,2.39829608080821e-53,"MARCKS"
1.73862946490653e-57,-0.733042720433637,0.385,0.641,4.12142114656093e-53,"RNF130"
2.42730607486107e-57,1.40888257094425,0.568,0.384,5.75392905045818e-53,"KDM6A"
4.59570042369625e-57,-0.787867695427618,0.328,0.578,1.0894107854372e-52,"RAB31"
4.91733901468339e-57,-0.795282450875774,0.382,0.626,1.1656552134307e-52,"HIGD2A"
6.09916250453407e-57,-0.665867667850707,0.571,0.769,1.4458064716998e-52,"NACA"
7.87634496306959e-57,-0.641053459587359,0.366,0.639,1.86708757349565e-52,"PLXDC2"
1.12627077762703e-56,-0.809568671946737,0.338,0.585,2.66982487836487e-52,"AP2S1"
1.26805960710313e-56,1.10498763496764,0.5,0.263,3.00593529863798e-52,"SYNE2"
1.71472656917533e-56,-0.641203144495377,0.606,0.793,4.06475933223013e-52,"RPL18"
2.12558191365502e-56,-0.752561802846852,0.385,0.629,5.03869192631921e-52,"ATP5F1D"
2.66248504440925e-56,-0.734712461163235,0.406,0.658,6.31142079777213e-52,"GPX4"
4.07138528874191e-56,-0.818720361103696,0.34,0.584,9.6512188269627e-52,"CRTAP"
4.84674032399491e-56,-0.719169492877634,0.365,0.629,1.14891979380299e-51,"HLA-DMA"
8.42419684312116e-56,0.818678253977142,0.921,0.91,1.99695586166187e-51,"PTPRC"
1.91192602174883e-55,-0.617600981526128,0.604,0.787,4.53222063455561e-51,"RPL13A"
2.26240150026557e-55,-0.664783096385773,0.474,0.732,5.36302275637953e-51,"ATP5F1E"
2.96180503715345e-55,-0.873723799980495,0.284,0.525,7.02095884057225e-51,"CSF1R"
5.75696317796355e-55,-0.608023334575069,0.532,0.764,1.36468812133626e-50,"RBFOX2"
6.80423659707748e-55,-0.819261110082295,0.339,0.582,1.61294428533722e-50,"SYK"
8.64081778121816e-55,-0.880428236889354,0.248,0.473,2.04830585503777e-50,"FGD4"
1.32576023987422e-54,-0.879678221906108,0.29,0.529,3.14271464862183e-50,"CPVL"
1.52735582414283e-54,-0.670607688100941,0.531,0.74,3.62059698113059e-50,"RPL22"
1.64893682811217e-54,-0.81690476432959,0.312,0.555,3.90880475103989e-50,"SERPINA1"
1.82158046487186e-54,-0.616403026678048,0.617,0.796,4.31805649197875e-50,"FAU"
1.88762134315387e-54,-0.590857243758585,0.616,0.817,4.47460639394625e-50,"RPL30"
2.3510272634889e-54,-0.835818143353102,0.348,0.587,5.57311012810043e-50,"NDUFB2"
2.600087827556e-54,-0.666554641049787,0.525,0.736,6.16350819522151e-50,"EEF1B2"
3.06347467538072e-54,-0.65415029915862,0.524,0.741,7.26196671798999e-50,"COTL1"
3.56567610852707e-54,-0.643270080808954,0.552,0.75,8.45243521526342e-50,"RPL9"
4.64961459340503e-54,-0.604792839113869,0.677,0.828,1.10219113936666e-49,"RPS19"
