"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.69885445512997e-91,2.42758199316489,0.461,0.198,4.02713448588559e-87,"ENSG00000235979"
1.6893763482785e-76,0.995473892857546,0.672,0.408,4.00466663359419e-72,"LYZ"
1.98033104238225e-76,0.951090274083449,0.686,0.421,4.69437473596711e-72,"TYROBP"
3.51059881660631e-74,0.967805037185619,0.761,0.585,8.32187449476526e-70,"FTL"
1.46699960871625e-70,1.10392267809394,0.651,0.373,3.47752257246187e-66,"S100A9"
1.37236013041814e-69,0.961151665432482,0.648,0.369,3.25317968915619e-65,"FCN1"
2.8155107390574e-68,0.960076476311593,0.684,0.434,6.67416820693556e-64,"AP1S2"
3.82943664552045e-66,1.06679944052884,0.614,0.34,9.07767956820624e-62,"S100A8"
3.75642682245432e-64,0.853967742893625,0.68,0.421,8.90460978262796e-60,"CST3"
6.28338878036835e-64,0.783573483099318,0.773,0.598,1.48947731038632e-59,"RPS10"
7.34231538193899e-63,0.799072265830512,0.757,0.565,1.74049586128864e-58,"OAZ1"
1.66860660157063e-62,0.865537766816595,0.702,0.479,3.95543194902319e-58,"TSPO"
4.64436431231933e-60,0.83331146623076,0.691,0.447,1.1009465602353e-55,"BRI3"
2.00074028745405e-59,0.928073348767996,0.629,0.375,4.74275485140983e-55,"MNDA"
4.26337703475339e-59,0.830913984146582,0.668,0.405,1.01063352608829e-54,"AIF1"
3.65670335831161e-58,0.841589945526119,0.688,0.439,8.66821531087766e-54,"LGALS1"
1.60515554702075e-56,0.810831443865061,0.655,0.397,3.8050212242127e-52,"MS4A6A"
3.32224268996691e-56,0.836340345267129,0.64,0.389,7.87537629656655e-52,"PYCARD"
5.58068287343002e-56,0.816377519193329,0.658,0.411,1.32290087514659e-51,"LST1"
1.19253025796262e-55,0.872604507293753,0.603,0.356,2.8268929765004e-51,"CD68"
2.99392146155774e-55,0.754751318451721,0.647,0.377,7.09709082462262e-51,"VCAN"
1.37687758542695e-54,0.795410776787868,0.681,0.442,3.26388831625458e-50,"VAMP8"
1.68800770438243e-54,0.854575158654227,0.652,0.405,4.00142226323854e-50,"FCER1G"
2.24678197905506e-54,0.984728974967289,0.523,0.293,5.32599668135003e-50,"CLEC12A"
7.29386489473037e-54,0.727038255834124,0.716,0.488,1.72901067329583e-49,"GABARAP"
1.35040147506476e-53,0.742861478974798,0.769,0.596,3.20112669664102e-49,"S100A4"
7.41390606825142e-53,1.03298099698238,0.531,0.304,1.757466433479e-48,"BLVRB"
1.08897830820338e-52,0.773596620678207,0.722,0.521,2.5814230795961e-48,"CTSS"
1.16554729719832e-52,0.693222723387182,0.798,0.649,2.76292986800862e-48,"RPLP1"
2.02085549812181e-51,0.858098345031098,0.555,0.315,4.79043795829774e-47,"CFD"
