"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-8.12558692165599,0.004,0.853,0,"RPS4Y1"
1.10851671972586e-75,0.488869543296986,0.999,0.996,2.62773888411014e-71,"RPS4X"
4.43075720893813e-73,-7.97608416208257,0.002,0.246,1.05031099637878e-68,"UTY"
2.00124601232337e-64,9.22313867856183,0.289,0,4.74395367221255e-60,"XIST"
1.36866113555778e-60,-6.69338442652161,0.002,0.207,3.24441122183971e-56,"USP9Y"
1.79570826295981e-56,-6.92315752605884,0.002,0.194,4.25672643734624e-52,"TXLNGY"
5.51017878066274e-52,-7.18669779302684,0.001,0.177,1.3061878799561e-47,"EIF1AY"
4.13692463775793e-49,-9.07935508368262,0,0.165,9.80657985380517e-45,"DDX3Y"
1.17688441293889e-43,-7.60199323135226,0.001,0.15,2.78980450087165e-39,"TTTY14"
1.05829615486836e-19,0.676588187080283,0.436,0.235,2.50869103511545e-15,"ENSG00000235979"
3.43207992618399e-14,0.86202784399232,0.436,0.287,8.13574546501914e-10,"EIF1AX"
2.06479889170539e-13,1.02183510822349,0.31,0.171,4.89460577278762e-09,"JPX"
1.81780131335323e-11,-0.256672800264425,0.961,0.944,4.30909801330383e-07,"RPS26"
1.28187302922055e-09,0.281799046534684,0.94,0.898,3.03868001576732e-05,"CD7"
1.22019742143068e-08,0.294604237630142,0.865,0.771,0.000289247798750142,"XCL2"
3.01981970008062e-08,0.971768927033053,0.22,0.127,0.000715848259904111,"ZFX"
6.146211961374e-08,0.883695615131862,0.225,0.131,0.00145695954544371,"ZNF683"
8.99920012455196e-08,0.512169140340138,0.417,0.294,0.00213326038952504,"EIF2S3"
1.0382349958721e-07,0.292884281429054,0.863,0.806,0.00246113605771481,"HOPX"
2.78385161868097e-07,-1.32794771335841,0.048,0.107,0.00659912026208323,"BCL2A1"
3.6218018984635e-07,0.635238278198904,0.316,0.213,0.00858548140030772,"PRKX"
1.1027480736526e-06,0.681058811325963,0.248,0.159,0.0261406430859349,"SMC1A"
1.58271766400033e-06,0.429878381401977,0.501,0.394,0.0375183222251279,"MPG"
1.88052978326401e-06,0.728550118457445,0.226,0.141,0.0445779585122733,"ZRSR2"
2.36828613571753e-06,-1.0748857334945,0.051,0.106,0.056140222847184,"CD3D"
4.54462367310789e-06,0.301415896736324,0.874,0.842,0.107730304171023,"GSTP1"
4.85039077321025e-06,0.561844898123238,0.266,0.179,0.114978513278949,"KDM6A"
5.61641952295675e-06,0.89614396606992,0.207,0.129,0.13313722479169,"KRT81"
9.75156138528958e-06,0.676622575549696,0.173,0.101,0.231160762638289,"KANSL1-AS1"
2.25900552568749e-05,0.299620312144952,0.786,0.728,0.535497259864219,"CD52"
2.33238417584891e-05,0.83672009705234,0.146,0.084,0.552891668884984,"PAX8-AS1"
2.67468390179681e-05,0.737031563361768,0.195,0.125,0.634033818920933,"LGALS3"
2.86347278496864e-05,0.902467018939137,0.144,0.084,0.678786223676817,"ASPH"
3.66276426448813e-05,0.817895207719886,0.124,0.067,0.868258268896911,"MRPL15"
4.12359858634437e-05,1.06544611899844,0.22,0.156,0.977499044892933,"HLA-DRA"
4.58503925064988e-05,0.645925363633756,0.272,0.194,1,"KRT86"
5.02583286918978e-05,0.458821122843361,0.312,0.231,1,"GYG1"
6.01410124393827e-05,0.446440064407832,0.359,0.278,1,"VPS13B"
7.81580166219764e-05,0.65167545531654,0.138,0.08,1,"H3C4"
9.90514997037734e-05,0.662472654047383,0.186,0.124,1,"TESC"
0.000103659498878233,0.263068444001147,0.658,0.584,1,"ITGB1"
0.000116728967675618,0.691540503407537,0.225,0.162,1,"CLNK"
0.00012057624844033,0.794043018984254,0.141,0.086,1,"RELL1"
0.000132079700280695,0.62663125826364,0.206,0.14,1,"AP1S2"
0.000139519583342866,0.699711577882371,0.134,0.08,1,"SUSD6"
0.000164435645714322,0.771403899829639,0.218,0.156,1,"SPINK2"
0.000168018333279404,0.684602889527521,0.142,0.088,1,"KLHL6"
0.000181506520116203,0.265036530689223,0.702,0.641,1,"CD96"
0.000194128443622004,0.339084933215079,0.423,0.348,1,"PSMA1"
0.00021635496472096,0.37438722346177,0.276,0.199,1,"TNFSF10"
0.000218081886142927,0.535924249407789,0.243,0.174,1,"GSTO1"
0.000293399406151195,0.283006501909151,0.695,0.643,1,"COTL1"
0.000313328113322939,0.446527495557813,0.326,0.255,1,"ENSG00000290036"
0.000323601830789347,0.380205657828523,0.413,0.335,1,"TNFRSF18"
0.000347098490780649,0.749176176564053,0.142,0.091,1,"HLA-DQB1"
0.000427477410696811,0.519657129282065,0.304,0.237,1,"ITM2C"
0.000435177894938881,0.719061835587684,0.117,0.07,1,"SRGAP3"
0.00046195196076195,0.35565884349918,0.334,0.261,1,"ENSG00000291107"
0.000499210011356393,0.469516370950842,0.16,0.104,1,"RP9"
0.000511543346596029,-0.579578634221669,0.286,0.344,1,"GADD45B"
0.000516871313072374,0.387626803606362,0.375,0.307,1,"DDX3X"
0.000524253531286785,0.79700998980058,0.141,0.092,1,"GAB1"
0.000584425893141421,0.612145705652842,0.204,0.146,1,"PPP1R9A"
0.00060021608598285,0.516736809931867,0.239,0.175,1,"LRPPRC"
0.000671624265381285,0.470852752159302,0.276,0.212,1,"TMEM14C"
0.000681660030991593,0.843225118052744,0.105,0.062,1,"PUDP"
0.000721232885290416,0.495064950240579,0.12,0.073,1,"HYCC1"
0.000731935914810898,0.65714803372532,0.126,0.079,1,"SERPINE2"
0.000742136221673933,-0.784654413620264,0.088,0.133,1,"SURF6"
0.000789739947996112,0.353515556139111,0.157,0.102,1,"CDC42EP3-AS1"
0.000793030463523067,-0.287137999559853,0.585,0.626,1,"APMAP"
0.000816784096730639,0.546319006532061,0.297,0.231,1,"ENSG00000282885"
0.000926099044213063,0.478197063525344,0.271,0.207,1,"PIN4"
0.000943445252200611,0.271837624905503,0.426,0.355,1,"KCNQ5"
0.00097615904592575,0.415441001886626,0.183,0.128,1,"UBAP1"
0.000996386207607765,0.540881262234864,0.182,0.127,1,"NUDT14"
0.00111766621168123,0.714486752999138,0.1,0.059,1,"TRUB2"
0.00112538033422296,0.406153869180151,0.282,0.212,1,"INPP4B"
0.0011356914467546,0.304351069629992,0.405,0.327,1,"DGUOK"
0.00118117312194292,0.626462339321732,0.139,0.092,1,"NTPCR"
0.0012576469373172,0.40374235986335,0.299,0.234,1,"MDFIC"
0.0012603125795636,0.402505974907738,0.178,0.122,1,"CXorf38"
0.00126565201399137,0.340749425554651,0.31,0.243,1,"NDUFA10"
0.00129098310071711,0.493198375231682,0.25,0.191,1,"TBCD"
0.00136338927684855,0.436016624817435,0.159,0.108,1,"MSI2"
0.00137516928114404,-0.511772786645126,0.231,0.285,1,"KLRC4"
0.00143289864042965,0.254320661929636,0.511,0.44,1,"OSBPL8"
0.00147779033826351,0.649479666091275,0.1,0.06,1,"POMC"
0.00150788878372306,-0.597660706589348,0.095,0.139,1,"TNFAIP8L2"
0.00154671654919661,-0.549786641178239,0.165,0.218,1,"UBE2S"
0.00154937949817075,0.53868147346927,0.132,0.086,1,"SMC6"
0.00158325189137888,0.521651639133011,0.182,0.129,1,"EXOC6"
0.00163385350986583,0.292679802502164,0.351,0.283,1,"DIP2A"
0.00163791077377839,0.620843053686475,0.147,0.1,1,"PLCH2"
0.00171912395116347,0.343049871737106,0.338,0.27,1,"MAP4"
0.00172660945287221,-0.306897118275636,0.368,0.427,1,"ISG20"
