"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
4.41314494519926e-11,2.21642490020576,0.123,0.02,1.04613600925948e-06,"RGPD2"
2.24772421920667e-09,0.513119821537443,0.819,0.562,5.32823026162941e-05,"SNHG5"
7.36079783459249e-09,0.637610042315647,0.637,0.412,0.000174487712669015,"ENSG00000291038"
3.59494365153996e-07,0.791186639214137,0.48,0.28,0.00852181392597548,"NAPRT"
4.56293685762472e-07,0.549465150383023,0.735,0.571,0.0108164418209994,"ENSG00000290104"
6.63787287851762e-07,1.14347387225203,0.196,0.076,0.015735077658526,"PAX8-AS1"
8.18892116931013e-07,0.977681503576239,0.368,0.203,0.0194118376318497,"GPR141"
1.03367111413928e-06,0.408819432538342,0.765,0.597,0.0245031737606716,"NDUFV2"
1.03632776505431e-06,0.480093912163623,0.676,0.473,0.0245661496706125,"OCIAD1"
1.28100571368968e-06,0.666338240815312,0.431,0.26,0.030366240443014,"KRI1"
1.42812408669975e-06,0.43828667110989,0.848,0.701,0.0338536814752176,"CTSC"
1.47860532178142e-06,0.735205733410418,0.392,0.22,0.0350503391528285,"SHD"
1.88152644513909e-06,0.806500282525189,0.191,0.076,0.0446015843820221,"RAB15"
2.36818175933007e-06,0.66054263395609,0.368,0.202,0.0561377486049192,"PTPRM"
2.52327411156052e-06,0.409746220487381,0.637,0.427,0.0598142128145421,"RAB5IF"
2.96405615408292e-06,1.38514591243344,0.201,0.086,0.0702629511325357,"KANK1"
3.08161565084504e-06,0.679374375890689,0.26,0.126,0.0730496990032816,"NLRP7"
4.8657061559468e-06,1.03510402783441,0.211,0.094,0.115341564426719,"RCAN1"
6.48119809535761e-06,0.324671796708505,0.525,0.33,0.153636800850452,"CCR2"
7.16040015227606e-06,0.904451709916336,0.299,0.161,0.169737285609704,"AMIGO2"
8.38958333105357e-06,0.401070286116196,0.701,0.521,0.198875072862625,"MIS18BP1"
8.76887527935935e-06,1.17292637137216,0.157,0.061,0.207866188497213,"D2HGDH"
8.93712106977972e-06,0.785213793991931,0.137,0.049,0.211854454959128,"PIGM"
9.35802892061265e-06,1.00417343722035,0.255,0.13,0.221832075563123,"CTNNBIP1"
1.02865703345212e-05,0.931288766529696,0.201,0.09,0.243843149779826,"AASDH"
1.0315201593717e-05,0.336185471757913,0.775,0.623,0.244521853779062,"CDK2AP2"
