"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.9151025951547e-148,-8.05088878212508,0.006,0.803,4.53975070181422e-144,"RPS4Y1"
1.04136691667302e-85,-7.38109561422967,0.003,0.518,2.4685602759734e-81,"UTY"
5.06664460260685e-72,-6.34825007915638,0.005,0.453,1.20104810304795e-67,"USP9Y"
8.82162224780098e-68,9.12332430819574,0.549,0,2.09116555384122e-63,"XIST"
1.16393641222479e-63,-7.61715906296292,0.003,0.402,2.75911126517886e-59,"EIF1AY"
2.0213464622932e-51,-6.62390870366918,0.003,0.334,4.79160178886602e-47,"TXLNGY"
5.45522690527146e-42,-5.70782834459097,0.003,0.28,1.2931615378946e-37,"DDX3Y"
9.8538396870211e-42,-6.34409244703782,0.003,0.277,2.33585269780835e-37,"KDM5D"
1.52114132932394e-41,-6.32302353403133,0.002,0.272,3.6058655211624e-37,"ENSG00000289707"
1.5980488401146e-29,0.452368323326874,0.99,0.992,3.78817477549167e-25,"RPS4X"
4.00435639017579e-29,-7.56630036109374,0,0.189,9.4923268229117e-25,"ZFY"
6.4036882302037e-22,-5.67099392277305,0.002,0.148,1.51799429496979e-17,"TTTY14"
3.52543605510758e-16,-6.7214051610043,0,0.104,8.35704616863252e-12,"LINC00278"
4.06819046431727e-15,-4.52944287103278,0.005,0.111,9.64364549566409e-11,"TTTY10"
2.40123573615834e-09,0.580655618868267,0.812,0.705,5.69212931256335e-05,"IRF7"
6.27279908897787e-09,-0.427875971984864,0.943,0.977,0.00014869670240422,"HLA-DRB1"
1.06150087063714e-08,0.552617446876119,0.742,0.583,0.000251628781384535,"GZMB"
1.10294863152766e-08,0.584191722000388,0.736,0.604,0.000261453973103632,"LILRA4"
1.31475882560736e-08,1.17615373128006,0.517,0.355,0.000311663579610226,"COL26A1"
1.17318234387321e-07,1.42622561402063,0.423,0.288,0.00278102874615145,"RASD1"
1.27255386814291e-07,0.62704755343667,0.715,0.645,0.00301658894443276,"SLC15A4"
2.20897829561707e-07,-1.39366760700319,0.05,0.145,0.00523638304976026,"CEBPB"
2.34410013507317e-07,0.495105160258212,0.814,0.756,0.00555668937019094,"PPP1R14B"
2.39413096441784e-07,0.638063533900606,0.712,0.601,0.0056752874511525,"CLIC3"
3.67186211129204e-07,-0.500140455779094,0.663,0.821,0.00870414913481777,"TXNIP"
3.92099408854248e-07,-2.59464403474524,0.039,0.122,0.00929471648688995,"YBX3"
4.48238376947643e-07,-0.557179648562425,0.546,0.687,0.0106254907255439,"CD52"
9.03569187890424e-07,-1.25727718023716,0.07,0.168,0.0214191075989425,"RIN3"
1.03642927113589e-06,-1.45354095815086,0.057,0.148,0.0245685558722763,"ENSG00000276345"
1.25635176501327e-06,-1.05547465025895,0.099,0.207,0.0297818185896396,"SLC2A3"
2.04685665694716e-06,-1.19525509985028,0.042,0.122,0.0485207370529324,"ITGB2-AS1"
2.17506194302852e-06,-1.16395163352192,0.118,0.228,0.0515598433594911,"METRNL"
2.64863562569157e-06,0.415869030063504,0.82,0.723,0.0627859075070188,"IRF8"
3.05817128499325e-06,1.89833243046446,0.19,0.085,0.0724939503107649,"KIRREL3"
3.25836598133693e-06,0.91923010533387,0.447,0.316,0.077239565587592,"JPX"
3.42133294569504e-06,-1.45749298989185,0.042,0.119,0.0811026974777009,"CD33"
4.33483027117012e-06,-0.497478102436248,0.337,0.484,0.102757151578088,"ZFP36L1"
4.9926295891024e-06,-0.472864184750577,0.379,0.536,0.118350284409672,"SSU72"
5.17502431614377e-06,-0.272336964467178,0.938,0.982,0.122673951414188,"RPS26"
5.27001140922206e-06,-0.764337505557532,0.288,0.422,0.124925620455609,"CSTB"
5.92802548855601e-06,0.609852520691819,0.645,0.531,0.14052384420622,"TPM2"
