"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
5.69758621918548e-29,0.495190678921806,0.853,0.734,1.35061281325792e-24,"CPVL"
1.23725181107046e-28,0.53598874940893,0.928,0.832,2.93290541814252e-24,"LYZ"
1.19228158677287e-24,1.26169666976707,0.534,0.392,2.82630350144508e-20,"ENSG00000235979"
4.30354092731455e-21,-1.69521251176122,0.05,0.167,1.02015437681991e-16,"ENSG00000276345"
4.70852201646244e-19,1.19599289168313,0.121,0.043,1.11615514400242e-14,"LINC02899"
1.50663595822274e-18,0.323080012576617,0.931,0.894,3.57148053896701e-14,"TXNIP"
1.30108427684543e-15,-0.348702881166667,0.873,0.906,3.0842202782621e-11,"MAP3K8"
1.07588033644607e-13,-0.535306226421683,0.8,0.818,2.55037433754542e-09,"ARL4C"
1.47277003256199e-13,0.35661666346195,0.526,0.387,3.4912013621882e-09,"MRPL23"
6.71177350829058e-13,0.570192722096376,0.376,0.261,1.59102591014028e-08,"GPR155"
4.11675444138688e-12,-0.413024158061675,0.719,0.776,9.7587664033076e-08,"SGK1"
5.03701265473739e-12,-0.458111653553859,0.731,0.779,1.1940238498055e-07,"DDIT4"
1.40256472906069e-11,0.529309743447707,0.302,0.199,3.32477969023836e-07,"H2AC6"
1.8677878103647e-11,0.653183967982168,0.227,0.14,4.42759100446953e-07,"WASH6P"
1.04867632561415e-10,-0.622073931428142,0.43,0.53,2.48588722986834e-06,"NR4A1"
1.26654721515784e-10,0.34326925069493,0.412,0.303,3.00235017353166e-06,"CLEC12A"
1.67293711934856e-10,0.325423256725615,0.523,0.409,3.96569744141577e-06,"C14orf119"
1.91393574590496e-10,0.462370512372248,0.325,0.225,4.53698468566772e-06,"MRC1"
2.59545653077196e-10,0.708586248130697,0.169,0.097,6.15252970619493e-06,"GIMAP2"
4.23550787839975e-10,-0.643099097576036,0.614,0.667,1.00402714257466e-05,"CD83"
6.61512624885331e-10,0.305347201605344,0.53,0.407,1.56811567729068e-05,"MIR223HG"
1.28613969521506e-09,0.720781873164892,0.133,0.071,3.0487941475073e-05,"GIMAP1"
1.91347727657983e-09,0.600503519556542,0.248,0.165,4.53589788413249e-05,"SIRPB2"
