"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-7.08236236022937,0.007,0.884,0,"RPS4Y1"
0,10.8321227324172,0.591,0,0,"XIST"
1.68129576406522e-267,-5.92020030610274,0.005,0.466,3.98551160871661e-263,"UTY"
4.1312143359735e-221,0.508456936058975,0.995,0.999,9.79304358342519e-217,"RPS4X"
2.70780909481522e-209,-6.6727055361001,0.003,0.377,6.41886145925947e-205,"DDX3Y"
4.11340190264069e-172,-5.86292487806362,0.004,0.322,9.75081921020977e-168,"USP9Y"
4.99628998730043e-158,-5.88993083326283,0.005,0.301,1.18437054148957e-153,"TXLNGY"
8.5803962649746e-146,-5.9243633149779,0.004,0.278,2.03398293461223e-141,"EIF1AY"
2.92060555312006e-133,-6.17199270665023,0.004,0.257,6.92329546367111e-129,"LINC00278"
7.29778581077037e-127,-6.98951098635239,0.002,0.243,1.72994012644312e-122,"TTTY14"
1.23609469753955e-100,-8.2604913189382,0,0.193,2.9301624805175e-96,"ZFY"
6.59437559720502e-94,-6.69086409828947,0.002,0.185,1.56319673531745e-89,"KDM5D"
2.4735564983263e-53,-5.16363894622479,0.003,0.113,5.8635656792825e-49,"ENSG00000290853"
1.82120130881722e-34,-0.387254731452388,0.802,0.909,4.31715770255122e-30,"CD99"
5.22715504245118e-28,-0.295444294809235,0.953,0.989,1.23909710281305e-23,"RPS26"
3.14389056897483e-23,-0.254908295552837,0.993,0.998,7.45259259375483e-19,"FTL"
6.33623157897441e-18,0.488609684015607,0.676,0.578,1.50200369579588e-13,"EIF1AX"
3.29964406306907e-17,-1.2477172636383,0.096,0.184,7.82180625150522e-13,"ENSG00000276345"
1.90243914354646e-16,-0.276602358492402,0.642,0.765,4.50973198977689e-12,"SULF2"
6.96333754551294e-16,0.657544801153704,0.478,0.367,1.65065916516384e-11,"PRKX"
2.09691169566652e-15,-0.363944047942233,0.661,0.751,4.97072917457749e-11,"ATP8B4"
3.16936768488793e-15,-0.325854670210204,0.674,0.774,7.51298609702684e-11,"PKIB"
5.17270739707185e-13,0.668445917950455,0.44,0.334,1.22619028847588e-08,"JPX"
6.40676979600538e-12,-0.350652575909588,0.46,0.563,1.51872478014308e-07,"ENSG00000291188"
3.08856115147898e-11,-0.253883912495193,0.638,0.739,7.32143420958092e-07,"CD68"
1.44875982317881e-10,-0.306754340787337,0.598,0.688,3.43428516084537e-06,"AOAH"
3.02292063290734e-10,-0.613667359177481,0.129,0.2,7.16583336030685e-06,"WASH6P"
3.75919150088436e-10,-0.742908490389556,0.159,0.235,8.91116345284637e-06,"VCAN"
6.35963872021068e-10,-0.63074375282378,0.153,0.225,1.50755235862594e-05,"SIRPB2"
6.92149912374226e-10,-0.932717138028895,0.083,0.142,1.6407413672831e-05,"LINC00937"
1.04305894999156e-09,-0.635669837119489,0.16,0.232,2.47257124095498e-05,"STARD13"
2.65610922690302e-09,0.836703388285453,0.195,0.129,6.29630692237362e-05,"PUDP"
3.61660318170803e-09,-0.378665325310138,0.212,0.29,8.57315784223888e-05,"TVP23A"
5.3384887642179e-09,-0.327040698181275,0.366,0.456,0.000126548876155785,"F13A1"
6.70123212587094e-09,-0.353692739268237,0.354,0.442,0.000158852707543771,"FAM118A"
7.30305335984313e-09,0.622885343591187,0.263,0.187,0.000173118879895081,"KDM5C"
2.40357017284034e-08,-0.572335865433386,0.168,0.237,0.000569766309471803,"CFD"
2.79176300332743e-08,-0.280783575234279,0.827,0.891,0.000661787419938768,"LYZ"
3.06777102326389e-08,-0.44311219068052,0.385,0.463,0.000727215121064705,"CD14"
3.4753435290617e-08,0.584611281681138,0.319,0.241,0.000823830183564076,"ZFX"
3.59704534332336e-08,-0.314051789213108,0.406,0.482,0.000852679598634803,"YBX3"
9.16333838874214e-08,0.410633458535296,0.659,0.622,0.00217216936505132,"DDX3X"
1.05810332255899e-07,0.503654851930522,0.402,0.321,0.00250823392612608,"KDM6A"
1.14395337497018e-07,-0.257846840823044,0.47,0.548,0.0027117414753668,"PILRA"
1.22629395524297e-07,-0.268759561464541,0.4,0.481,0.00290692982090346,"CD9"
1.2894063788365e-07,-0.458946464907272,0.332,0.401,0.00305653782103193,"IL3RA"
1.3341775500794e-07,-0.338624483997175,0.385,0.466,0.00316266788246322,"KLF2"
